gen;prom_fitness;std_dev
0;145.63;105.47
1;146.83;88.21
2;162.4;110.67
3;166.72;113.47
4;151.3;99.92
5;139.11;93.21
6;165.33;113.52
7;154.42;92.7
8;143.93;94.49
9;162.36;121.29
10;154.61;95.86
11;157.29;101.74
12;159.48;93.64
13;155.48;96.43
14;160.58;95.48
15;143.39;98.71
16;173.0;120.56
17;151.14;97.29
18;164.63;101.79
19;162.27;110.35
20;164.59;120.08
21;160.56;100.61
22;156.84;94.99
23;165.99;113.76
24;155.53;101.18
25;152.2;95.98
26;150.76;108.45
27;169.48;113.78
28;171.73;113.56
29;155.3;94.15
30;162.9;99.78
31;140.75;82.06
32;166.54;102.97
33;164.8;104.53
34;155.42;95.83
35;155.2;106.97
36;160.79;101.86
37;176.75;112.66
38;171.54;118.36
39;159.06;100.28
40;164.61;108.3
41;149.08;94.45
42;157.34;88.62
43;165.47;100.02
44;162.85;97.16
45;174.8;112.16
46;174.33;101.82
47;178.21;121.97
48;156.5;94.38
49;165.93;104.65
50;171.62;103.5
51;178.09;99.94
52;173.68;114.3
53;203.71;119.79
54;183.79;114.95
55;177.94;97.75
56;183.25;108.49
57;163.57;94.16
58;171.74;92.54
59;197.47;122.13
60;170.14;99.58
61;190.24;125.06
62;172.88;106.57
63;168.25;92.83
64;185.53;99.96
65;184.42;119.46
66;189.36;121.98
67;191.83;109.85
68;188.8;106.81
69;188.87;105.49
70;197.89;96.56
71;207.84;108.6
72;192.18;111.02
73;206.34;110.45
74;171.73;98.29
75;201.03;115.25
76;183.08;97.07
77;189.83;122.79
78;187.78;117.38
79;183.12;125.32
80;171.33;106.51
81;163.33;99.85
82;175.67;102.17
83;188.91;108.6
84;188.1;117.82
85;180.53;96.07
86;182.17;105.13
87;196.0;122.47
88;195.77;116.57
89;184.27;94.13
90;179.54;90.02
91;186.9;92.82
92;200.3;107.82
93;193.6;103.57
94;188.62;112.61
95;188.1;113.23
96;172.95;94.37
97;193.77;115.41
98;185.3;97.12
99;169.13;92.29
100;178.7;115.29
101;171.7;105.93
102;178.03;101.51
103;195.6;115.79
104;183.39;119.84
105;171.91;111.84
106;185.3;107.18
107;182.87;128.56
108;172.18;103.64
109;174.63;100.54
110;184.4;138.03
111;159.63;97.26
112;180.27;108.72
113;185.1;111.93
114;185.13;110.71
115;191.77;120.92
116;175.5;105.16
117;182.05;100.19
118;175.57;114.88
119;188.86;110.57
120;180.5;115.05
121;184.43;95.78
122;179.33;104.27
123;167.65;84.47
124;182.7;117.28
125;170.43;94.56
126;174.9;105.63
127;187.77;108.05
128;192.07;118.04
129;185.83;94.32
130;193.1;95.83
131;188.69;98.87
132;195.5;107.57
133;194.5;109.73
134;177.53;92.13
135;179.93;97.61
136;180.6;96.2
137;177.55;116.78
138;187.98;115.3
139;183.3;109.06
140;180.33;91.97
141;177.62;102.84
142;179.01;115.55
143;174.03;109.77
144;185.2;95.08
145;177.57;109.62
146;173.13;112.33
147;172.43;110.8
148;189.6;120.01
149;160.07;87.53
150;180.13;120.09
151;188.43;126.56
152;174.23;104.79
153;176.07;115.21
154;160.0;101.21
155;176.1;126.72
156;171.13;104.18
157;155.23;104.3
158;175.0;100.93
159;195.13;122.14
160;199.27;122.77
161;195.87;132.34
162;184.63;88.17
163;180.0;101.55
164;173.73;100.44
165;184.9;106.38
166;188.27;114.31
167;177.33;97.7
168;189.23;102.65
169;178.7;92.94
170;175.87;119.5
171;182.15;110.4
172;189.1;106.47
173;188.9;117.88
174;176.73;102.06
175;194.14;114.1
176;182.3;94.73
177;165.9;91.58
178;180.3;106.33
179;178.37;109.37
180;177.4;110.63
181;177.37;106.94
182;186.9;115.88
183;196.17;113.19
184;178.13;126.67
185;173.7;110.29
186;159.0;92.4
187;180.83;103.89
188;203.77;109.49
189;181.9;115.91
190;184.77;128.52
191;171.73;99.19
192;162.43;115.43
193;171.33;116.26
194;164.47;111.98
195;165.86;99.43
196;163.97;74.83
197;180.81;113.44
198;171.27;98.77
199;173.52;111.68
200;167.45;94.81
201;168.64;99.35
202;182.57;119.62
203;185.23;117.31
204;178.02;105.46
205;181.7;98.75
206;193.5;98.36
207;179.43;111.36
208;177.0;110.78
209;173.47;108.09
210;158.33;98.18
211;167.87;109.45
212;173.8;107.68
213;171.77;105.78
214;162.8;110.51
215;181.4;110.07
216;180.87;120.99
217;164.73;108.94
218;175.7;114.4
